Context,,Subject,Question,A,B,Answer,Explanation
"오전 10시 : 편의점",,"""오늘은 제 생일이에요!""
기분 좋게 산책도 할 겸 간편하게 편의점에서 아침을 해결해볼까 해요!
편의점에서 만난 트래쉬 프렌즈들의 집을 함께 찾아볼까요?",,,,,
,Q11,즉석밥 용기,간편하고 먹고 나온 즉석밥 용기는 어떻게 버려야 할까요?,[일반 쓰레기] 버리는 것도 간편하게 일반 쓰레기로 버릴래요!,[플라스틱] 이물질 없이 깨끗하게 씻어 플라스틱으로 분리 배출할래요!,일반 쓰레기,즉석밥 용기는 플라스틱 OTHER 로 분류되는 여러 종류의 플라스틱이 섞인 복합 재질이라 재활용이 어렵답니다. 그러니 일반 쓰레기로 버려주세요!
,Q12,스티로폼 컵라면,"컵밥으로 배가 안 차 함께 먹은 컵라면의 스티로폼 용기, 어떻게 버려야 할까요?",[스티로폼] 깨끗하면 재활용 할 수 있지 않을까요? 씻어서 스티로폼으로 분리 배출할래요!,[일반 쓰레기] 재활용은 힘들 것 같은데요? 일반 쓰레기로 버릴래요!,일반 쓰레기,스티로폼 재질의 컵라면 용기는 코팅 처리가 되어 있기 때문에 이물질 없이 깨끗하게 씻더라도 재활용이 어렵답니다. 
,Q13,알루미늄 캡,"입가심으로 마신 요구르트의 알루미늄 캡, 어떻게 버려야 할까요?",[일반 쓰레기] 크기가 작으니 재활용 어렵지 않을까요? 일반 쓰레기로 버릴래요!,[캔] 작긴 해도 알루미늄이잖아요! 캔으로 분리 배출할래요!,일반 쓰레기,"단지형 우유나 요구르트 뚜껑에 달린 알루미늄 캡은 복합 재질로 구성되어 있고, 크기가 작아 재활용하기 어렵답니다. "
,Q14,플라스틱 빨대,식사 후 커피는 필수죠! 편의점 계산대에서 가져온 빨대는 어떻게 버려야 할까요?,[일반 쓰레기] 흠.. 이 작은 것이 재활용될까요? 일반 쓰레기로 버릴래요!,[플라스틱] 빨대 재질에 맞게 플라스틱으로 분리 배출할래요!,일반 쓰레기,낱개의 플라스틱 빨대는 작고 가벼운 품목이라 선별되기가 어렵답니다. 그러니 일반 쓰레기로 버려 주셔야 해요!
,Q15,영수증,"주머니 속에 들어 있는 편의점 영수증, 어떻게 버려야 할까요?",[일반 쓰레기] 종이도 종이 나름이죠! 매끈매끈 하니까 일반 쓰레기로 버릴래요!,[종이] 영수증도 A4용지 같은 종이 아닌가요? 종이로 분리 배출할래요!,일반 쓰레기,종이 재질이라고 모두 종이류로 분리 배출되는 것이 아니랍니다. 영수증은 화학물질이 코팅된 혼합종이라서 재활용이 어려워요!
"오후 1시 : 배달음식
",,"""특별한 하루의 점심시간!""
오랜만에 떡볶이+치킨 세트를 배달시켜서 먹었어요. 맛있게 먹고 만난 또 다른 트래쉬 프렌즈!
이번 트래쉬 프렌즈의 집은 어디일까요? 함께 찾아봐요!",,,,,
,Q21,알루미늄 포일,"맛있는 치킨 양념이 조금 묻은 알루미늄 포일, 어떻게 버려야 할까요?",[일반 쓰레기] 재활용될 지 확신할 수 없으니 일반 쓰레기로 버릴래요!,[캔] 반짝이는 재질을 보니 캔으로 재활용될 것 같아요! 캔으로 분리 배출할래요!,일반 쓰레기,"포일은 알루미늄 캔과 재질이 같지만, 포장재가 아니라서 재활용이 어려워요. 얇은 두께 때문에 재활용을 위해 녹일 때 회수율이 높지 않거든요!"
,Q22,치킨 박스 기름종이,"치킨 박스를 펴다가 만난 기름종이, 어떻게 버려야 할까요?",[종이] 종이니까 당연히 재활용되지 않을까요? 종이로 분리 배출할래요!,[일반 쓰레기] 흐음…. 기름 묻은 종이가 과연 재활용될까요? 일반 쓰레기로 버릴래요!,일반 쓰레기,"기름종이는 이물질이 묻어 있어 재활용이 어려워요! 붕어빵 봉투, 햄버거 포장지의 경우도 모두 일반 쓰레기로 버려야 해요"
,Q23,치킨 뼈,"물렁뼈까지 맛있게 발라 먹고 남은 치킨 뼈, 어떻게 버려야 할까요?",[일반 쓰레기] 치킨 뼈는 동물이 먹을 수 없잖아요~ 일반 쓰레기로 버릴래요!,[음식물 쓰레기] 음식에서 나왔으니 당연히 음식물이죠! 음식물 쓰레기로 분리 배출할래요!,일반 쓰레기,음식물은 사료로 재활용되는 경우가 많은데 동물이 섭취하느 ㄴ사료인 만큼 동물의 뼈는 사료 활용에 부적합해요. 
